Variable,Standard_Deviation,Mean
F1A1_1,1.586541759236282,3.0603106125970663
F1A2_1,1.8020284507665416,4.615444348576359
F1A3_1,1.8027163400694746,4.84702329594478
F1A4_1,1.8869527149347034,4.547195858498706
F1A5_1,1.4602465657328632,3.0487489214840378
F1A6_1,1.9059324149346515,4.311561691113028
F1A7_1,1.8416936845341363,4.935634167385677
F1A8_1,1.789867628920891,5.037359792924935
F1A9_1,1.8357576181962159,3.999913718723037
F1A10_1,1.4397490390953382,5.123727351164797
F1A11_1,1.572787821909962,5.0402070750647106
F1A12_1,1.2332936520163322,2.3236410698878345
F1A13_1,1.635630905364012,3.9310612597066434
F1A14_1,1.311992229750113,3.7834339948231235
F1A15_1,1.6777447881199572,3.310440034512511
F1A16_1,1.4266051424268325,2.687057808455565
F1A17_1,1.514887715692111,5.308714408973253
F1A19_1,1.5933807709829784,4.249956859361519
F2A1,1.4216027106413573,2.8952545297670405
F2A2,1.2732132768718236,2.9715271786022432
F2A3,1.768998704924603,2.7871800296170934
F2A4,1.1053683005886838,3.575237273511648
F2A5,1.074048102009708,3.7686798964624675
F2A6,1.1987141799434917,3.3201035375323555
F2A7,1.1770024021597751,2.9748058671268334
F2A8,1.24748570005505,3.264193270060397
F2A9,1.0687094403943167,3.790077653149267
F2A10,1.0768618689994547,3.5838294934852013
F2A11,1.2109827287124617,2.913373597929249
F2A12,1.4009439450137644,3.311820534943917
F2A14,1.206520067321084,3.6536338546458142
F3A1_1,1.5617520506761233,4.557529024432507
F3A2_1,1.271483589870519,2.4207796698072435
F3A3_1,1.7153309533080936,4.7997237569060776
F3A4_1,1.1902957040480615,2.3005360539512365
F3A5_1,1.758082350978948,3.7132111360885354
F3A6_1,1.885308357859399,4.101409181291605
F3A7_1,1.7900637565121191,4.082453711714829
F3A8_1,1.8844958668345941,4.231579856612249
F3A9_1,1.7491965445269082,4.999827004584379
F3A10_1,1.9670382356373997,3.184564917127072
F3A11_1,1.854249679455984,3.9759108962182697
F3A12_1,1.7387836485739365,3.285356371490281
F3A13_1,1.5915217252053107,2.8568707247380725
F3A14_1,1.8236972977543875,3.741160197112475
F3A15_1,1.9346359010699432,4.420639032815199
F3A16_1,1.8245385743062228,4.973402417962004
F3A17_1,1.6539246609346858,2.6370543037209706
F3A18_1,1.6971412244603403,5.26181629655232
F3A19_1,1.7179454845446258,3.209531732826242
F3A20_1,1.6421462229222659,3.3403775376944083
F3A21_1,1.5496868586895611,3.893052581489412
F3A22_1,1.717686700169231,4.886111111111111
F3A23_1,2.2643569067954217,4.932620320855615
F3A24_1,2.387854743480223,3.4272727272727272
F3A25_1,2.33170855501832,4.316042780748663
F3A26_1,1.8063695902773051,5.485828877005347
F3A27_1,2.1245175098435385,3.1385026737967916
F3A28_1,2.05768527839445,4.343315508021391
F3A29_1,2.4006266883750613,3.033155080213904
F3A30_1,2.078394991564733,4.363636363636363
F3A31_1,1.6677322215364108,5.901069518716578
F3A32_1,1.9036006755222745,2.9537433155080213
F3A33_1,1.7867957192481483,5.531550802139037
F3A34_1,1.8353307526944687,5.401336898395722
F3A35_1,1.365288461490069,6.191711229946524
F3A36_1,2.0628456777534327,4.066042780748663
F3B_Hamas,2.8141151438374066,8.609625668449198
F3B_Israel,2.993627989936888,6.978074866310161
F3B_Deutschland,2.333887714496427,5.418983957219251
F3B_USA,3.063283766039557,5.8762032085561495
F3B_UN,2.733736784974339,5.59572192513369
F3B_Iran,2.6539266096119616,8.04625668449198
F3B_Katar,2.4234903865713484,6.345989304812834
F5A1_1,1.2880279062100115,2.9202761000862814
F5A2_1,1.0786216344830681,2.2388265746333045
F5A3_1,1.214017557273697,2.6430543572044867
F5A4_1,0.9740116168844825,3.836842105263158
F5A5_1,1.0430934340220248,3.7245038826574635
F5A6_1,1.0906420549310503,3.392320966350302
F5A7_1,0.9866768160077245,3.383520276100086
F5A8_1,1.1097566628247968,3.0270060396893874
F5A9_1,0.9092903199564144,3.9968938740293356
F5A10_1,1.1439320027577549,3.582226056945643
F5A11_1,1.1185218994905117,3.546074201898188
F5A12_1,1.0005788603103347,3.558067299396031
F5A13_1,1.1591137365846447,3.4047454702329594
F5A14_1,1.0518985304451092,3.7855871886120998
F5A15_1,0.9608005488396895,3.0938287153652393
F5A16_1,0.9985057320556637,3.9609394013141883
F5aA1_1,2.1715176901752216,4.91786022433132
F5aA2_1,2.1820652539414183,3.546937014667817
F5aA3_1,2.191599458902944,5.121742881794651
F5bA1_1,2.2870961070219136,3.7228645383951684
F5bA2_1,2.5129337567281533,3.769521410579345
F5bA3_1,2.5393591422858175,3.941156169111303
F5bA4_1,2.1140659097344425,2.8056945642795514
F5bA5_1,2.2251579437725515,4.527178602243313
F5bA6_1,2.0453777562403332,5.2893874029335635
F5cA1_1,1.539038309003237,3.159090909090909
F5cA2_1,1.3898492294750653,2.696524064171123
F6a_DemPartyA1,3.4975464469020174,5.3602983917845375
F6a_RepPartyA1,3.1852521911752207,4.8945680691866675
F6mA1_1,2.609158686683783,6.3937014667817085
F7d,0.2493546315656609,1.0666091458153582
F7e,0.35023132288360653,1.1431406384814495
F7f,0.3505826634522579,1.1434857635893012
einkommen,1.5295721406280998,4.116566005176876
F7g,1.9118651607775647,5.688783433994823
F7h,2.0072032465542726,3.273425366695427
F7lA1,0.0,2.0
F7mA1,0.5201615657368334,1.0634495084897229
F7n,3.454000899905293,4.925798101811907
