Variable,Standard_Deviation,Mean
F1A1_1,1.507627488954912,2.943127962085308
F1A2_1,1.649822350803979,4.270142180094787
F1A3_1,1.8260385018520267,4.450236966824645
F1A4_1,1.8124671687078564,4.170616113744076
F1A5_1,1.4636188352117945,2.829383886255924
F1A6_1,1.8616926023165579,3.843601895734597
F1A7_1,1.73718995291847,4.654028436018957
F1A8_1,1.8405767741815364,4.625592417061611
F1A9_1,1.8712327685309282,3.943127962085308
F1A10_1,1.4799799933992714,4.781990521327014
F1A11_1,1.4700807599442602,4.843601895734597
F1A12_1,1.3107199969497574,2.3317535545023698
F1A13_1,1.61809615331201,4.028436018957346
F1A14_1,1.2881944032568458,3.5355450236966823
F1A15_1,1.7163832800342245,3.5213270142180093
F1A16_1,1.4343372697155183,2.881516587677725
F1A17_1,1.6147313261649716,4.872037914691943
F1A19_1,1.6154020581650284,4.0
F2A1,1.2748456082041428,3.5829383886255926
F2A2,1.195530682659324,3.2369668246445498
F2A3,1.597258622162928,3.3440860215053765
F2A4,1.0650051943976067,3.7014218009478674
F2A5,1.020684297034835,3.6682464454976302
F2A6,1.1462261334071209,3.6161137440758293
F2A7,1.2066168284157626,3.345971563981043
F2A8,1.2345182082495427,3.3507109004739335
F2A9,1.0253831073376234,3.876777251184834
F2A10,1.0685593116353016,3.706161137440758
F2A11,1.2546820460922674,3.3033175355450237
F2A12,1.1795481273346642,3.744075829383886
F2A14,1.1264798487332168,3.870967741935484
F3A1_1,1.3685344253726144,3.8125
F3A2_1,1.328560036405931,2.9
F3A3_1,1.8319612846616629,4.331753554502369
F3A4_1,1.233919118490934,2.642857142857143
F3A5_1,1.600778415927426,3.5545023696682465
F3A6_1,1.7468028634443287,4.331753554502369
F3A7_1,1.6185653926487635,4.271428571428571
F3A8_1,1.8628439835450024,4.354066985645933
F3A9_1,1.7443330109884319,4.219047619047619
F3A10_1,1.5385221243907743,2.772511848341232
F3A11_1,1.6135149137488913,3.5118483412322274
F3A12_1,1.453561606905202,2.962085308056872
F3A13_1,1.5943337809436577,3.3142857142857145
F3A14_1,1.6616942299455544,3.829383886255924
F3A15_1,1.7395008583756941,4.341232227488152
F3A16_1,1.7171194513226458,4.753554502369668
F3A17_1,1.4840915221540558,2.7772511848341233
F3A18_1,1.7410311162575542,4.530805687203792
F3A19_1,1.3615472801565236,2.9710982658959537
F3A20_1,1.4995182270632117,3.23121387283237
F3A21_1,1.4155507655072785,3.345029239766082
F3A22_1,1.6879026928790664,4.496774193548387
F3A23_1,2.35820300616047,4.898989898989899
F3A24_1,2.2903542371076178,3.8282828282828283
F3A25_1,2.2030974615452212,4.232323232323233
F3A26_1,1.817253937632395,5.2727272727272725
F3A27_1,2.1942373130785007,3.95959595959596
F3A28_1,2.243568880002485,4.313131313131313
F3A29_1,2.5111994044638495,3.6666666666666665
F3A30_1,2.116918527665301,4.373737373737374
F3A31_1,1.6298341981632274,5.434343434343434
F3A32_1,1.8269834374524645,3.2222222222222223
F3A33_1,1.9132925855266818,5.505050505050505
F3A34_1,1.9565998130130822,5.262626262626263
F3A35_1,1.5589825900698833,5.909090909090909
F3A36_1,2.0449998349343375,4.040404040404041
F3B_Hamas,3.2192602199319587,7.393939393939394
F3B_Israel,2.726939442289287,7.505050505050505
F3B_Deutschland,2.325191200912268,5.595959595959596
F3B_USA,2.8320689091772806,5.858585858585859
F3B_UN,2.301084684135321,5.696969696969697
F3B_Iran,2.4730249496450063,7.08080808080808
F3B_Katar,2.4536940123675963,6.585858585858586
F5A1_1,1.1416886375711663,2.6824644549763033
F5A2_1,1.0260431827921213,2.227488151658768
F5A3_1,1.2577002723919972,2.744075829383886
F5A4_1,1.176463684979813,3.4786729857819907
F5A5_1,1.1518238850810858,3.4739336492890995
F5A6_1,1.1538793692306735,3.2701421800947865
F5A7_1,1.0705216954920016,3.2606635071090047
F5A8_1,1.1422222339307924,2.990521327014218
F5A9_1,1.150961447907824,3.7014218009478674
F5A10_1,1.2046700671392354,3.4028436018957344
F5A11_1,1.169382980927185,3.3696682464454977
F5A12_1,1.1252623255429781,3.3838862559241707
F5A13_1,1.1580378583345372,3.2322274881516586
F5A14_1,1.0536052551185595,3.5058823529411764
F5A15_1,0.9969465577574307,3.3902439024390243
F5A16_1,1.238252737234948,3.3253968253968256
F5aA1_1,2.078997293162875,4.62085308056872
F5aA2_1,2.0177166105450537,3.5924170616113744
F5aA3_1,2.303030491999055,3.971563981042654
F5bA1_1,2.028258945229982,3.3838862559241707
F5bA2_1,2.119019561598954,2.902439024390244
F5bA3_1,2.2048754987058796,2.9004739336492893
F5bA4_1,1.971816772849779,2.890995260663507
F5bA5_1,2.1470327180119884,4.350710900473934
F5bA6_1,1.9517654571975922,5.218009478672986
F5cA1_1,1.3544250146026564,2.888888888888889
F5cA2_1,1.4462827051314118,2.898989898989899
F6a_DemPartyA1,3.0424390589745873,6.177083333333333
F6a_RepPartyA1,2.925381748851118,5.66321243523316
F6mA1_1,2.3413120830781753,6.369668246445498
F7d,0.38117517745864515,1.1753554502369667
F7e,0.478327410108982,1.3507109004739337
F7f,0.4838628139760434,1.3696682464454977
einkommen,0.0,4.0
F7g,1.7481718212945272,5.706161137440758
F7h,2.150477685698454,2.8199052132701423
F7lA1,0.0,4.0
F7mA1,0.43790774343826316,1.7702702702702702
F7n,0.0,1.0
