Variable,Standard_Deviation,Mean
F1A1_1,1.4747912021053342,2.071748878923767
F1A2_1,1.89801802614847,4.497757847533633
F1A3_1,2.048132092733409,4.452914798206278
F1A4_1,2.1157091255718012,4.488789237668161
F1A5_1,1.5854446414000483,2.31390134529148
F1A6_1,2.1103653671319487,4.192825112107624
F1A7_1,1.772239096277366,5.304932735426009
F1A8_1,2.2233669064640464,4.538116591928251
F1A9_1,2.0758454293019932,4.103139013452915
F1A10_1,2.0140599801204546,3.5739910313901344
F1A11_1,1.9408391336330004,5.058295964125561
F1A12_1,1.498474156265067,2.125560538116592
F1A13_1,1.9199215230598674,4.273542600896861
F1A14_1,1.6131053391805175,2.7847533632286994
F1A15_1,2.0503302363993807,3.4529147982062782
F1A16_1,1.9789932218225388,3.3318385650224216
F1A17_1,2.224484096462525,3.5739910313901344
F1A19_1,1.869181406554867,2.713004484304933
F2A1,1.4360975863857284,3.632286995515695
F2A2,1.252412530683274,3.5829596412556053
F2A3,1.6144721495489485,3.5953488372093023
F2A4,1.1759518201487313,4.004484304932736
F2A5,1.1914127359385933,3.937219730941704
F2A6,1.2889431247588732,3.820627802690583
F2A7,1.287390719110904,3.7488789237668163
F2A8,1.3385749191600516,3.663677130044843
F2A9,1.2223758517339398,3.9641255605381165
F2A10,1.2773885107930791,3.9417040358744395
F2A11,1.4148418859772562,3.681614349775785
F2A12,1.422771902051215,3.7354260089686098
F2A14,1.2171732604240353,4.097345132743363
F3A1_1,1.7738682284487686,2.9192825112107625
F3A2_1,1.6544374186232462,2.690582959641256
F3A3_1,2.153907251134861,2.9820627802690582
F3A4_1,1.566552384495611,2.4349775784753365
F3A5_1,1.9971194866836648,3.3318385650224216
F3A6_1,1.9953183196026225,3.632286995515695
F3A7_1,1.8058738779256387,3.008968609865471
F3A8_1,2.117770365037729,3.5201793721973096
F3A9_1,2.2725636870351758,3.4260089686098656
F3A10_1,1.8546439761499514,2.475336322869955
F3A11_1,1.9699393213975611,3.1569506726457397
F3A12_1,1.8286934966412551,2.681614349775785
F3A13_1,1.7933699610154838,2.9327354260089686
F3A14_1,1.96102903408917,3.1210762331838566
F3A15_1,2.0987710254803575,3.233183856502242
F3A16_1,2.1604900009948342,3.780269058295964
F3A17_1,1.8023470067552656,2.4484304932735426
F3A18_1,2.103933021147741,3.1390134529147984
F3A19_1,1.7535206888274824,2.7232704402515724
F3A20_1,1.7923179045753075,2.79874213836478
F3A21_1,1.6442889077835956,2.440251572327044
F3A22_1,2.1215326773115937,3.90990990990991
F3A23_1,2.3318108354135205,3.425
F3A24_1,2.5591422119060705,3.5875
F3A25_1,2.1234078175173208,4.35
F3A26_1,2.237624192154808,3.925
F3A27_1,2.459288772353256,3.95
F3A28_1,2.0745595841899624,3.5
F3A29_1,2.137630001968642,2.9875
F3A30_1,2.3084873670979085,3.75
F3A31_1,2.2070083996100625,4.2
F3A32_1,1.9118219820734461,2.375
F3A33_1,2.2262814543368163,3.925
F3A34_1,2.4101250033235972,4.0375
F3A35_1,2.3054352399426925,4.4625
F3A36_1,2.130809259709987,4.0625
F3B_Hamas,3.0582685181510674,8.0375
F3B_Israel,3.279298319512031,6.925
F3B_Deutschland,3.1163107041922653,6.1
F3B_USA,3.797713335979755,6.4125
F3B_UN,3.605529333142625,6.6125
F3B_Iran,2.94205645808024,7.55
F3B_Katar,2.8783071237680975,6.6375
F5A1_1,0.9973705987946705,1.6143497757847534
F5A2_1,0.8935595519539449,1.547085201793722
F5A3_1,1.1439445167874103,1.7937219730941705
F5A4_1,1.4133848908470712,2.399103139013453
F5A5_1,1.4609751365765902,2.367713004484305
F5A6_1,1.3354475622396937,2.201793721973094
F5A7_1,1.3671232485219815,2.242152466367713
F5A8_1,1.208933338021541,1.9506726457399104
F5A9_1,1.404078988347352,2.4798206278026904
F5A10_1,1.4116259260227526,2.42152466367713
F5A11_1,1.419417376035473,2.3946188340807173
F5A12_1,1.2820133995254657,2.3004484304932737
F5A13_1,1.3228183938892488,2.295964125560538
F5A14_1,1.6180104284209273,2.7916666666666665
F5A15_1,1.366655146259992,2.641025641025641
F5A16_1,1.4027409308939758,2.437086092715232
F5aA1_1,2.286749820254831,2.977578475336323
F5aA2_1,1.8296321575275083,2.4484304932735426
F5aA3_1,2.1372435430780454,2.708520179372197
F5bA1_1,1.6253680178318695,2.125560538116592
F5bA2_1,1.628441544037789,2.076923076923077
F5bA3_1,1.987020054535842,2.2062780269058297
F5bA4_1,1.5138702103470125,1.968609865470852
F5bA5_1,1.8204789864628235,2.506726457399103
F5bA6_1,2.1048257119830396,3.1704035874439462
F5cA1_1,1.9238262902187164,3.0875
F5cA2_1,1.7884563034547667,2.9375
F6a_DemPartyA1,4.052939007889219,8.04739336492891
F6a_RepPartyA1,3.5989671356186843,6.929577464788732
F6mA1_1,0.0,11.0
F7d,0.14838306247107708,1.0224215246636772
F7e,0.24311303337403295,1.062780269058296
F7f,0.25865224085475846,1.0717488789237668
einkommen,1.5991200666861327,5.515695067264574
F7g,1.9357326680891653,6.632286995515695
F7h,1.8055270946525566,1.9237668161434978
F7lA1,0.0,4.0
F7mA1,0.47161935549887524,1.9174757281553398
F7n,0.0,1.0
