Variable,Standard_Deviation,Mean
F1A1_1,1.524661779972169,2.7467625899280574
F1A2_1,1.742364624801343,4.4043165467625895
F1A3_1,1.794136038977441,4.517266187050359
F1A4_1,1.8537123183072615,4.217985611510791
F1A5_1,1.4460230260601818,2.7503597122302157
F1A6_1,1.8455534985530944,3.9071942446043164
F1A7_1,1.7591806193398283,4.827338129496403
F1A8_1,1.909197268543202,4.62158273381295
F1A9_1,1.8605178280963268,3.9467625899280576
F1A10_1,1.6667657464424905,4.412230215827338
F1A11_1,1.6632474729436384,4.825179856115108
F1A12_1,1.2909244378154947,2.271223021582734
F1A13_1,1.6221198942745563,4.010791366906475
F1A14_1,1.3946827133168038,3.4007194244604317
F1A15_1,1.7025305741089805,3.530935251798561
F1A16_1,1.5122068753873759,2.956115107913669
F1A17_1,1.7913727619385649,4.460431654676259
F1A19_1,1.7038351788848987,3.6345323741007194
F2A1,1.3163904275664517,3.5194244604316545
F2A2,1.1839314496437046,3.3784172661870504
F2A3,1.5394955649359485,3.330991412958626
F2A4,1.0760749209626415,3.7503597122302157
F2A5,1.0942832623263514,3.647482014388489
F2A6,1.1746857766289232,3.5589928057553957
F2A7,1.2073080810827577,3.30863309352518
F2A8,1.2106522816742549,3.3071942446043168
F2A9,1.0944794351331992,3.8410071942446042
F2A10,1.0331796344993753,3.7611510791366904
F2A11,1.221432259016784,3.3453237410071943
F2A12,1.2158409164659334,3.7115107913669063
F2A14,1.1872056605494556,3.780922431865828
F3A1_1,1.5748907132941268,3.6324167872648334
F3A2_1,1.404546444582372,2.7662337662337664
F3A3_1,1.9504812601589332,4.058273381294964
F3A4_1,1.3027561593237418,2.5421773612112473
F3A5_1,1.6874314081678725,3.5028901734104045
F3A6_1,1.7590675867202898,4.1090252707581225
F3A7_1,1.7356961464406746,3.9263005780346822
F3A8_1,1.8790419818203439,4.249459264599856
F3A9_1,1.8443093722106547,4.141618497109826
F3A10_1,1.6163206042058555,2.7158273381294964
F3A11_1,1.7225963136037148,3.5205183585313176
F3A12_1,1.5710047029323129,2.9444844989185293
F3A13_1,1.5746598929627278,3.2454742939898624
F3A14_1,1.7514183679583903,3.6806056236481615
F3A15_1,1.8480886018586142,4.134823359769286
F3A16_1,1.8861422854926182,4.507913669064748
F3A17_1,1.6534105792673766,2.774658027357811
F3A18_1,1.88425150589967,4.266187050359712
F3A19_1,1.4580247796992842,2.9002695417789757
F3A20_1,1.5713780041983043,3.2504504504504506
F3A21_1,1.5631548389892977,3.296028880866426
F3A22_1,1.75196893286446,4.399364406779661
F3A23_1,2.250304889537145,4.582381729200653
F3A24_1,2.3061138259778793,3.7373572593800977
F3A25_1,2.231625474102057,4.210440456769984
F3A26_1,1.987295584373639,5.00163132137031
F3A27_1,2.1838315058769617,3.763458401305057
F3A28_1,2.0927664442156653,4.164763458401305
F3A29_1,2.460684687813686,3.766721044045677
F3A30_1,2.1272693339134623,4.287112561174552
F3A31_1,1.8818427509129028,5.244698205546492
F3A32_1,1.8045054920385295,3.128874388254486
F3A33_1,1.9435450295471433,5.239804241435563
F3A34_1,1.8385535448314398,5.2920065252854815
F3A35_1,1.6652778655366527,5.698205546492659
F3A36_1,1.9888964507194753,4.107667210440456
F3B_Hamas,2.8937586543422107,7.7438825448613375
F3B_Israel,2.8457372460605543,7.33278955954323
F3B_Deutschland,2.31022158169239,5.799347471451876
F3B_USA,2.927510446543647,6.481239804241436
F3B_UN,2.7003143003327046,6.063621533442088
F3B_Iran,2.518662284672105,7.200652528548124
F3B_Katar,2.3777412419170663,6.391517128874388
F5A1_1,1.1793992504221145,2.450359712230216
F5A2_1,1.0516601107329395,2.125179856115108
F5A3_1,1.2145100134514109,2.543884892086331
F5A4_1,1.24794925292278,3.1985611510791365
F5A5_1,1.282673671191053,3.162589928057554
F5A6_1,1.2534911701885025,2.92158273381295
F5A7_1,1.1534665830918716,2.9402877697841725
F5A8_1,1.2294383109898381,2.7007194244604316
F5A9_1,1.2507641743271545,3.4129496402877697
F5A10_1,1.252642167207231,3.098561151079137
F5A11_1,1.2293414115731223,3.0244604316546764
F5A12_1,1.1771567471958673,3.0553956834532374
F5A13_1,1.195827308720537,2.90431654676259
F5A14_1,1.1876132905075683,3.214689265536723
F5A15_1,1.0608252165441876,2.8095238095238093
F5A16_1,1.2942326661951382,3.162980209545984
F5aA1_1,2.2144157251978926,4.084172661870504
F5aA2_1,1.9917653453195268,3.3654676258992806
F5aA3_1,2.2779111529200615,3.746043165467626
F5bA1_1,1.9304517824334786,3.0223021582733813
F5bA2_1,1.994423652503871,2.728937728937729
F5bA3_1,2.146300505525824,2.7194244604316546
F5bA4_1,1.874519791306828,2.6388489208633095
F5bA5_1,2.171216431771385,3.598561151079137
F5bA6_1,2.177902242901044,4.61726618705036
F5cA1_1,1.5237985640436427,3.2854812398042412
F5cA2_1,1.5126357231220695,2.867862969004894
F6a_DemPartyA1,3.3628880317456202,6.584313725490196
F6a_RepPartyA1,3.029989665366083,5.831893165750197
F6mA1_1,2.5997411544737115,7.0482014388489205
F7d,0.3103830161778648,1.1079136690647482
F7e,0.4480247289321421,1.2776978417266187
F7f,0.45083669472824156,1.283453237410072
einkommen,1.607489811460036,4.877697841726619
F7g,1.9156879470455879,6.020143884892087
F7h,2.1707946339964574,2.553956834532374
F7lA1,0.0,4.0
F7mA1,0.4836725607815988,1.820923656927427
F7n,0.0,1.0
