Variable,Standard_Deviation,Mean
F1A1_1,1.3315062702409146,2.5286343612334803
F1A2_1,1.7277644057507464,4.73568281938326
F1A3_1,1.7096299464452591,4.88546255506608
F1A4_1,1.8385615212146131,4.477973568281938
F1A5_1,1.3788954655533583,2.616740088105727
F1A6_1,1.819504602621125,4.211453744493392
F1A7_1,1.6377800291462326,5.1233480176211454
F1A8_1,1.7747440731475541,4.9801762114537445
F1A9_1,1.8081437293939302,4.277533039647577
F1A10_1,1.6662314297846157,4.270925110132159
F1A11_1,1.6055112170128916,4.973568281938326
F1A12_1,1.3240944706501825,2.392070484581498
F1A13_1,1.5958346579414668,4.08590308370044
F1A14_1,1.37045597712652,3.4229074889867843
F1A15_1,1.7240300925432115,3.693832599118943
F1A16_1,1.5335391025060034,3.101321585903084
F1A17_1,1.8175166268932625,4.394273127753304
F1A19_1,1.669966877771679,3.5198237885462555
F2A1,1.3239861361569791,3.341409691629956
F2A2,1.2041556218117244,3.2158590308370045
F2A3,1.4676544354377188,3.167832167832168
F2A4,1.1122402226857737,3.656387665198238
F2A5,1.1061930652937577,3.5837004405286343
F2A6,1.1804454206431845,3.4757709251101323
F2A7,1.1628765624206276,3.2753303964757707
F2A8,1.1634701568855053,3.3105726872246697
F2A9,1.1304951456522667,3.806167400881057
F2A10,1.104908813921196,3.6365638766519823
F2A11,1.2250783135330092,3.253303964757709
F2A12,1.2521786209374732,3.73568281938326
F2A14,1.1465333770968882,3.7993197278911564
F3A1_1,1.5657451877792194,3.643805309734513
F3A2_1,1.4094432621592567,2.8300220750551874
F3A3_1,1.9324945809759102,3.9295154185022025
F3A4_1,1.2586259057102382,2.5518763796909494
F3A5_1,1.6298950418176485,3.486784140969163
F3A6_1,1.7098456080061792,4.15929203539823
F3A7_1,1.7344731976008814,3.8656387665198237
F3A8_1,1.8075054948861213,4.292035398230088
F3A9_1,1.8017255637667013,4.0905077262693155
F3A10_1,1.624324788299345,2.6894273127753303
F3A11_1,1.720811903995076,3.486784140969163
F3A12_1,1.5019701583586975,2.856512141280353
F3A13_1,1.5246775191247701,3.0931263858093128
F3A14_1,1.7924191971109749,3.5682819383259914
F3A15_1,1.8735751556357132,4.1982378854625555
F3A16_1,1.8938650480792658,4.460352422907489
F3A17_1,1.7120812195349642,2.8744493392070485
F3A18_1,1.824992008748583,4.200440528634362
F3A19_1,1.4204973091580442,2.8144927536231883
F3A20_1,1.562499747219393,3.2956521739130435
F3A21_1,1.657763547607907,3.1913043478260867
F3A22_1,1.792864158607489,4.690721649484536
F3A23_1,2.070368406677062,4.523529411764706
F3A24_1,2.2101244741954065,3.5764705882352943
F3A25_1,2.2126743099267805,3.9411764705882355
F3A26_1,1.9835821085108416,4.982352941176471
F3A27_1,2.047648554186457,3.6058823529411765
F3A28_1,2.1190219653891273,4.029411764705882
F3A29_1,2.4692751719270656,3.5176470588235293
F3A30_1,2.031632889158491,4.329411764705882
F3A31_1,1.7902645025833153,5.629411764705883
F3A32_1,1.727765115335293,3.0941176470588236
F3A33_1,1.8717680115430575,5.305882352941176
F3A34_1,1.8326808529979663,5.247058823529412
F3A35_1,1.6443323114367987,5.7823529411764705
F3A36_1,1.8621946414650132,4.170588235294118
F3B_Hamas,2.8601770225057073,8.052941176470588
F3B_Israel,2.800576739368933,7.576470588235294
F3B_Deutschland,2.0902788273464634,5.523529411764706
F3B_USA,2.8952233306524615,6.141176470588236
F3B_UN,2.45806457359521,5.758823529411765
F3B_Iran,2.252399424485101,7.364705882352941
F3B_Katar,2.2087696616057397,6.4941176470588236
F5A1_1,1.1598767849374918,2.405286343612335
F5A2_1,1.0514499348087212,2.116740088105727
F5A3_1,1.158738064378201,2.447136563876652
F5A4_1,1.2713560626363327,3.041850220264317
F5A5_1,1.2958870922257757,2.9757709251101323
F5A6_1,1.2098116513729749,2.7224669603524227
F5A7_1,1.118111181107226,2.8083700440528636
F5A8_1,1.2304386402836938,2.6299559471365637
F5A9_1,1.2569090212328202,3.301762114537445
F5A10_1,1.290314442070212,3.041850220264317
F5A11_1,1.2134094197313756,2.9933920704845813
F5A12_1,1.1232720671009302,3.0308370044052864
F5A13_1,1.164261841451537,2.8854625550660793
F5A14_1,1.0568221539197027,3.2941176470588234
F5A15_1,1.0968391527233206,2.7710843373493974
F5A16_1,1.3061401972374267,3.0631229235880397
F5aA1_1,2.204534901586769,3.9691629955947136
F5aA2_1,1.877365538812166,3.171806167400881
F5aA3_1,2.1837983672954215,3.7158590308370045
F5bA1_1,1.8179539808500675,2.920704845814978
F5bA2_1,1.7956096259728274,2.566265060240964
F5bA3_1,2.0758686566024265,2.658590308370044
F5bA4_1,1.786056048216117,2.5308370044052864
F5bA5_1,2.08172439354522,3.3348017621145374
F5bA6_1,2.1039135295726616,4.526431718061674
F5cA1_1,1.4949619535638858,3.3
F5cA2_1,1.3420298821800185,2.788235294117647
F6a_DemPartyA1,3.269588148130149,6.698375870069605
F6a_RepPartyA1,2.9421149835227984,5.6496519721577725
F6mA1_1,2.539746380338002,7.004405286343612
F7d,0.3550715340102266,1.1475770925110131
F7e,0.45255060916471523,1.2863436123348018
F7f,0.44026975988125777,1.2621145374449338
einkommen,1.3654441646663145,5.127753303964758
F7g,0.0,7.0
F7h,1.920183093074612,2.1387665198237884
F7lA1,0.0,4.0
F7mA1,0.44788654880712886,1.8831908831908832
F7n,0.0,1.0
