Variable,Standard_Deviation,Mean
F1A1_1,1.392458421715414,2.473076923076923
F1A2_1,1.7647957759670858,4.467948717948718
F1A3_1,1.794932228712635,4.63974358974359
F1A4_1,1.8395977846301854,4.3448717948717945
F1A5_1,1.4286423828109884,2.6076923076923078
F1A6_1,1.8547357668466196,4.102564102564102
F1A7_1,1.6741042368638779,5.085897435897436
F1A8_1,1.9152993707690225,4.630769230769231
F1A9_1,1.9136264945266341,4.12051282051282
F1A10_1,1.7654433151690483,4.0717948717948715
F1A11_1,1.7222093568894499,4.88974358974359
F1A12_1,1.3179523712867933,2.2628205128205128
F1A13_1,1.701526101289141,4.092307692307692
F1A14_1,1.4026711153575988,3.1205128205128205
F1A15_1,1.7771850834143055,3.6166666666666667
F1A16_1,1.6070733965030355,3.1192307692307693
F1A17_1,1.904160012018665,4.043589743589743
F1A19_1,1.741953811348887,3.3
F2A1,1.3285489438375802,3.4935897435897436
F2A2,1.1909907242446625,3.428205128205128
F2A3,1.3846006421097063,3.224383916990921
F2A4,1.0725132714433294,3.7794871794871794
F2A5,1.107606907459899,3.712820512820513
F2A6,1.1861305289930595,3.594871794871795
F2A7,1.224520442598326,3.4205128205128204
F2A8,1.2156095019681028,3.3666666666666667
F2A9,1.121701393124986,3.848717948717949
F2A10,1.0772902551318504,3.7794871794871794
F2A11,1.2189293725963095,3.4551282051282053
F2A12,1.1889438336263491,3.776923076923077
F2A14,1.202044676335832,3.8028169014084505
F3A1_1,1.6206388273555647,3.2917737789203083
F3A2_1,1.464909097621785,2.802310654685494
F3A3_1,1.9508357642454888,3.6256410256410256
F3A4_1,1.3246187097837652,2.5525641025641024
F3A5_1,1.6785530294134665,3.359897172236504
F3A6_1,1.7925675187880339,4.051347881899872
F3A7_1,1.7353523197524905,3.7021822849807444
F3A8_1,1.9033214830776388,4.084724005134788
F3A9_1,1.922687161672864,3.8830334190231364
F3A10_1,1.6059634267402811,2.6333333333333333
F3A11_1,1.7531007190880672,3.3581514762516047
F3A12_1,1.5401539352381204,2.789473684210526
F3A13_1,1.570972724464209,3.075641025641026
F3A14_1,1.8087753171291252,3.4782051282051283
F3A15_1,1.8783428237119741,3.9318766066838045
F3A16_1,1.9720321580613644,4.269230769230769
F3A17_1,1.6171287472732696,2.7214377406931964
F3A18_1,1.9349289822167404,3.908974358974359
F3A19_1,1.3472098967792414,2.654109589041096
F3A20_1,1.6264562615895877,3.214041095890411
F3A21_1,1.5382280878960137,3.017094017094017
F3A22_1,1.8059854865730813,4.217741935483871
F3A23_1,2.1221672456788023,4.110410094637224
F3A24_1,2.163434682776944,3.526813880126183
F3A25_1,2.184991623773178,4.1892744479495265
F3A26_1,2.071149869453057,4.6750788643533125
F3A27_1,2.1024977397366142,3.7129337539432177
F3A28_1,2.011248962582722,3.7917981072555205
F3A29_1,2.3078256386073606,3.583596214511041
F3A30_1,2.188552400567724,4.10410094637224
F3A31_1,1.9888530557231003,4.987381703470032
F3A32_1,1.70969364213536,2.968454258675079
F3A33_1,1.9656841220815153,4.996845425867508
F3A34_1,1.8916884008181793,5.170347003154574
F3A35_1,1.775881623439578,5.545741324921136
F3A36_1,1.9932852580285183,3.911671924290221
F3B_Hamas,2.866156042021019,7.861198738170347
F3B_Israel,2.910702292732889,7.488958990536277
F3B_Deutschland,2.576664622144485,6.006309148264984
F3B_USA,3.111512141479235,6.577287066246057
F3B_UN,2.9271321909123804,6.34384858044164
F3B_Iran,2.607245271929406,7.312302839116719
F3B_Katar,2.6095109844883875,6.630914826498422
F5A1_1,1.1605656138384532,2.2525641025641026
F5A2_1,0.9960415052075454,1.985897435897436
F5A3_1,1.1998341776742636,2.35
F5A4_1,1.2950667626622485,2.924358974358974
F5A5_1,1.331296789042719,2.8692307692307693
F5A6_1,1.2779967650752253,2.637179487179487
F5A7_1,1.2110893586275224,2.703846153846154
F5A8_1,1.2507402107091767,2.444871794871795
F5A9_1,1.3449872923670374,3.1423076923076922
F5A10_1,1.278913971814598,2.848717948717949
F5A11_1,1.260047992741173,2.773076923076923
F5A12_1,1.2151809296348144,2.8371794871794873
F5A13_1,1.230232594242623,2.7025641025641027
F5A14_1,1.2649457189136795,3.025089605734767
F5A15_1,1.089731944147897,2.6580645161290324
F5A16_1,1.3401224360902906,2.9221556886227544
F5aA1_1,2.12945436350364,3.473076923076923
F5aA2_1,1.8016935188577843,2.980769230769231
F5aA3_1,2.1946894380231408,3.371794871794872
F5bA1_1,1.675423491570647,2.5743589743589745
F5bA2_1,1.8665803838258939,2.535483870967742
F5bA3_1,2.0067244021311006,2.503846153846154
F5bA4_1,1.634564607122231,2.3333333333333335
F5bA5_1,1.916505410646994,2.9692307692307693
F5bA6_1,2.181142191151945,4.0
F5cA1_1,1.5987943686711976,3.2649842271293377
F5cA2_1,1.4765601932845287,2.8738170347003154
F6a_DemPartyA1,3.3995504259679077,7.158402203856749
F6a_RepPartyA1,3.0765851625048786,6.009655172413793
F6mA1_1,2.5796839783704293,7.5346153846153845
F7d,0.24960387958759292,1.0666666666666667
F7e,0.408661288334234,1.2115384615384615
F7f,0.40683691649143155,1.208974358974359
einkommen,1.4450400043596248,5.3307692307692305
F7g,1.8496083330839268,6.501282051282051
F7h,0.0,1.0
F7lA1,0.0,4.0
F7mA1,0.39868227105102355,1.904047976011994
F7n,0.0,1.0
