Variable,Standard_Deviation,Mean
F1A1_1,1.5902618252788552,3.042867701404287
F1A2_1,1.7446369171530745,4.323170731707317
F1A3_1,1.7968234894218784,4.485218033998522
F1A4_1,1.8518900625999546,4.0637472283813745
F1A5_1,1.4967053385932907,2.9284922394678494
F1A6_1,1.842001545740677,3.74150036954915
F1A7_1,1.8275031408235034,4.576311899482631
F1A8_1,1.8796407308310397,4.5502586844050255
F1A9_1,1.8280985905720553,3.896711012564671
F1A10_1,1.5904417172734875,4.848115299334811
F1A11_1,1.628961375536223,4.760347376201035
F1A12_1,1.2738365209910127,2.2126755358462677
F1A13_1,1.5906080208950095,3.966740576496674
F1A14_1,1.3718063235369173,3.59830007390983
F1A15_1,1.6419410333863789,3.3837767923133777
F1A16_1,1.4658194796392119,2.7152623798965263
F1A17_1,1.6558647854985544,4.91019955654102
F1A19_1,1.6948886383119388,4.0707686622320765
F2A1,1.3462519275105171,3.495011086474501
F2A2,1.213583397125018,3.347560975609756
F2A3,1.608239426502814,3.2882185079494497
F2A4,1.1033695460327368,3.757021433850702
F2A5,1.1500642843977036,3.6036585365853657
F2A6,1.1918932813957224,3.496119733924612
F2A7,1.2358567573490007,3.1422764227642275
F2A8,1.2447355829935582,3.155210643015521
F2A9,1.0674048524016686,3.9281226903178124
F2A10,1.0770115580463202,3.7433481152993346
F2A11,1.2034860654850004,3.2281966001478195
F2A12,1.2787164799141537,3.595528455284553
F2A14,1.2106672198772104,3.6911764705882355
F3A1_1,1.5364186987657014,3.904165888286942
F3A2_1,1.3699116289782436,2.69494987003342
F3A3_1,1.8570291815604993,4.502959674435812
F3A4_1,1.2994897509822987,2.502873030583874
F3A5_1,1.7093808585034167,3.654558932542624
F3A6_1,1.779235596209036,4.19309320460453
F3A7_1,1.710820907235119,4.174544101228135
F3A8_1,1.8815564202359165,4.322837562511576
F3A9_1,1.8027045714871364,4.403010033444816
F3A10_1,1.676193880973102,2.7835586002592114
F3A11_1,1.7215690481031203,3.682163363585849
F3A12_1,1.5701222557997898,3.0005553498704183
F3A13_1,1.5870291258402338,3.3504289444237223
F3A14_1,1.7330174807231729,3.8496477567667777
F3A15_1,1.8433983583692832,4.302299703264095
F3A16_1,1.8548599432558144,4.707592592592593
F3A17_1,1.666367092489943,2.7584165741768407
F3A18_1,1.8121556207830984,4.569629629629629
F3A19_1,1.5226115425061053,2.9873911049977075
F3A20_1,1.5477691140295702,3.2693010507080857
F3A21_1,1.5672857542999077,3.5746783088235294
F3A22_1,1.7460121379425917,4.567305098462368
F3A23_1,2.2966047598322787,4.978194505015264
F3A24_1,2.370629007797384,4.010030527692979
F3A25_1,2.3319238409905734,4.277365896205844
F3A26_1,1.9325333036154035,5.285651984300044
F3A27_1,2.317601025642059,3.867858700392499
F3A28_1,2.2012426176353093,4.394679459223724
F3A29_1,2.52349286663305,3.910161360662887
F3A30_1,2.162037002959146,4.429132141299608
F3A31_1,1.8890909126410187,5.471434801569996
F3A32_1,2.0044232795224484,3.324465765372874
F3A33_1,1.863835324371122,5.477976450065417
F3A34_1,1.8035279672726507,5.496293065852595
F3A35_1,1.670563202348759,5.804622764936764
F3A36_1,2.1294531346023087,4.2442215438290445
F3B_Hamas,2.9567385431401014,7.72481465329263
F3B_Israel,2.963310298547765,7.181421718273005
F3B_Deutschland,2.436366781111356,5.641953772350632
F3B_USA,3.0268182254375855,6.360226777147841
F3B_UN,2.682443937959472,5.781072830353249
F3B_Iran,2.6869125657102697,7.1504579153946795
F3B_Katar,2.430222735666141,6.238552115133014
F5A1_1,1.3312050068523724,2.922949002217295
F5A2_1,1.1617305235198356,2.4116777531411677
F5A3_1,1.2535009481867307,2.9011456023651148
F5A4_1,1.1619689875874515,3.553030303030303
F5A5_1,1.2096640690029903,3.5308573540280856
F5A6_1,1.2048897272133001,3.29859571322986
F5A7_1,1.0986836823817614,3.2394678492239466
F5A8_1,1.2210474342044706,3.05339985218034
F5A9_1,1.1291264337354905,3.725979305247598
F5A10_1,1.1827622320751414,3.3883961566888394
F5A11_1,1.1860723641885274,3.35679970436068
F5A12_1,1.124251414672244,3.3427568366592757
F5A13_1,1.1724792278989071,3.1522542498152255
F5A14_1,1.1907332676022482,3.354262378764676
F5A15_1,1.0195145042733333,2.90048309178744
F5A16_1,1.2188444329943133,3.448885027512308
F5aA1_1,2.191967872407021,4.544345898004434
F5aA2_1,2.1214289425604527,3.904841093865484
F5aA3_1,2.2863259953895008,4.103658536585366
F5bA1_1,2.095127938806101,3.417220990391722
F5bA2_1,2.054247528685284,2.8309178743961354
F5bA3_1,2.235140503985758,2.9146341463414633
F5bA4_1,2.177163566055376,3.1821877309682187
F5bA5_1,2.22342982103872,4.096082779009608
F5bA6_1,2.073616999835138,5.239837398373984
F5cA1_1,1.572038254318198,3.223724378543393
F5cA2_1,1.4814392266541287,2.842564326210205
F6a_DemPartyA1,3.2906688401946314,6.019057591623037
F6a_RepPartyA1,3.0307569233088136,5.271179314694135
F6mA1_1,2.657490819480864,6.419438285291944
F7d,0.28618702305247445,1.0899852180339986
F7e,0.423014965078696,1.233370288248337
F7f,0.4246347625721169,1.2359571322985956
einkommen,1.6695025669602876,4.371581670362158
F7g,2.022187249174656,5.495380635624538
F7h,2.3144514129411435,2.926829268292683
F7lA1,0.0,4.0
F7mA1,0.5220528710104116,1.8075846271315856
F7n,3.472195160865494,5.259423503325943
