Variable,Standard_Deviation,Mean
F1A1_1,1.6315455933046015,3.5169082125603865
F1A2_1,1.7260535840000613,3.8840579710144927
F1A3_1,1.7020389301169483,4.217391304347826
F1A4_1,1.7678682713489662,3.7342995169082127
F1A5_1,1.6098012050429191,3.2342995169082127
F1A6_1,1.7431162727204825,3.4613526570048307
F1A7_1,1.8061666950559985,4.188405797101449
F1A8_1,1.8219980584667037,4.4227053140096615
F1A9_1,1.7371926015869292,3.714975845410628
F1A10_1,1.4089184000523614,5.072463768115942
F1A11_1,1.4524791762528482,4.478260869565218
F1A12_1,1.1610271307405404,2.1231884057971016
F1A13_1,1.4785549889158405,3.9130434782608696
F1A14_1,1.2382514525121238,3.7318840579710146
F1A15_1,1.568351604348682,3.214975845410628
F1A16_1,1.396309032259639,2.6231884057971016
F1A17_1,1.4164862956416915,5.2270531400966185
F1A19_1,1.5396564319321773,4.396135265700483
F2A1,1.1453940681369434,3.927536231884058
F2A2,1.2481285191322942,3.5169082125603865
F2A3,1.583574236066001,3.367123287671233
F2A4,1.0742324107244579,3.968599033816425
F2A5,1.1000100488587696,3.898550724637681
F2A6,1.2092608578371682,3.717391304347826
F2A7,1.2525371661405613,3.282608695652174
F2A8,1.2470526481134774,3.2342995169082127
F2A9,1.042914208906689,4.082125603864735
F2A10,1.0746569913196915,3.929951690821256
F2A11,1.1215998487748549,3.316425120772947
F2A12,1.2641567137184508,3.5917874396135265
F2A14,1.234920419059744,3.8333333333333335
F3A1_1,1.2929879329701035,3.8793103448275863
F3A2_1,1.2364709636433338,2.858190709046455
F3A3_1,1.701780323120347,4.701456310679611
F3A4_1,1.2542018292609385,2.604368932038835
F3A5_1,1.6804051634700143,4.036855036855036
F3A6_1,1.659609200708028,3.975550122249389
F3A7_1,1.5752738674115767,3.921375921375921
F3A8_1,1.822995797457926,4.014669926650367
F3A9_1,1.713326751141828,4.813267813267813
F3A10_1,1.5301072708623755,2.8995098039215685
F3A11_1,1.6847643614620418,3.975669099756691
F3A12_1,1.5215449666523264,3.2154963680387407
F3A13_1,1.5010547893903432,3.7044334975369457
F3A14_1,1.5433158257237398,4.1382716049382715
F3A15_1,1.8163368448649866,4.163814180929095
F3A16_1,1.7804254333551803,4.640776699029126
F3A17_1,1.7047793354986358,2.8676470588235294
F3A18_1,1.6173179470139656,4.561743341404358
F3A19_1,1.360237397332727,3.1223880597014926
F3A20_1,1.3786649744482973,2.9673590504451037
F3A21_1,1.597786338863151,3.907185628742515
F3A22_1,1.672618829992167,4.34020618556701
F3A23_1,2.3542381108739447,5.141242937853107
F3A24_1,2.473706102150193,4.271186440677966
F3A25_1,2.2026709051943336,4.977401129943503
F3A26_1,1.853885133257672,5.4124293785310735
F3A27_1,2.368999732571206,4.446327683615819
F3A28_1,2.09745853501612,4.68361581920904
F3A29_1,2.625692365951566,4.372881355932203
F3A30_1,2.1292198802396634,5.022598870056497
F3A31_1,1.8154978263476482,5.610169491525424
F3A32_1,1.8231378268512624,2.994350282485876
F3A33_1,1.8433447525445248,5.237288135593221
F3A34_1,1.921381062534941,5.446327683615819
F3A35_1,1.5534890399441197,5.864406779661017
F3A36_1,2.1009756336643113,4.1525423728813555
F3B_Hamas,2.8249293776483273,7.401129943502825
F3B_Israel,2.7706478431913713,6.581920903954802
F3B_Deutschland,2.31600802437684,5.740112994350283
F3B_USA,2.79417179032297,6.610169491525424
F3B_UN,2.567051512313711,6.033898305084746
F3B_Iran,2.6379261437747403,7.293785310734464
F3B_Katar,2.321351951867187,6.220338983050848
F5A1_1,1.2942024328919113,2.975845410628019
F5A2_1,1.1836340557158282,2.608695652173913
F5A3_1,1.1421854566619292,3.28743961352657
F5A4_1,0.9395030663212095,3.8067632850241546
F5A5_1,1.0161231941537443,3.864734299516908
F5A6_1,1.0131257740714124,3.652173913043478
F5A7_1,0.9682016652952486,3.471014492753623
F5A8_1,1.1033439672524634,3.2657004830917873
F5A9_1,0.9684160846811725,3.893719806763285
F5A10_1,1.0265708808698193,3.601449275362319
F5A11_1,0.9845901855371875,3.5869565217391304
F5A12_1,0.9970186341816311,3.4154589371980677
F5A13_1,1.0170667019825759,3.3768115942028984
F5A14_1,0.9901017062666304,3.6783216783216783
F5A15_1,0.8543885996873167,3.112676056338028
F5A16_1,1.07434454847072,3.5202952029520294
F5aA1_1,2.151790147726884,4.765700483091788
F5aA2_1,2.1203013718846684,4.371980676328502
F5aA3_1,2.190595765017029,4.214975845410628
F5bA1_1,2.185617506958827,3.753623188405797
F5bA2_1,2.3436201338937055,3.3661971830985915
F5bA3_1,2.289936525292081,3.0893719806763285
F5bA4_1,2.314254586693249,3.3840579710144927
F5bA5_1,2.2770637838528565,4.4855072463768115
F5bA6_1,1.8443421127901518,5.700483091787439
F5cA1_1,1.4332879437635895,3.2542372881355934
F5cA2_1,1.285986857729784,2.751412429378531
F6a_DemPartyA1,3.1409970462418926,5.589595375722543
F6a_RepPartyA1,2.851112502996652,5.096774193548387
F6mA1_1,2.5439809631682,6.246376811594203
F7d,0.26351481555655093,1.0748792270531402
F7e,0.3642455002882502,1.1570048309178744
F7f,0.359623974583262,1.1521739130434783
einkommen,0.0,3.0
F7g,1.6984150214407954,4.519323671497585
F7h,2.327126430361406,3.2753623188405796
F7lA1,0.0,3.0
F7mA1,0.4721803371474327,1.2863436123348018
F7n,0.0,8.0
