Variable,Standard_Deviation,Mean
F1A1_1,1.7496801777863917,3.9714285714285715
F1A2_1,1.8760217843210694,3.7666666666666666
F1A3_1,1.905185929107778,3.9571428571428573
F1A4_1,1.9412010619712747,3.566666666666667
F1A5_1,1.6270455691588326,3.376190476190476
F1A6_1,1.9245272060853964,3.238095238095238
F1A7_1,1.9567026727988033,3.795238095238095
F1A8_1,1.877357255978608,3.9571428571428573
F1A9_1,1.7882238005636364,3.4714285714285715
F1A10_1,1.4217975651425057,5.161904761904762
F1A11_1,1.6099202602845966,4.295238095238095
F1A12_1,1.1825417978525163,2.1333333333333333
F1A13_1,1.5879257905346704,3.9952380952380953
F1A14_1,1.3814924188203659,3.9761904761904763
F1A15_1,1.647965252571853,3.2
F1A16_1,1.3528195579738438,2.638095238095238
F1A17_1,1.4270121360253516,5.2
F1A19_1,1.503099251316213,4.538095238095238
F2A1,1.3019430945212662,3.8666666666666667
F2A2,1.3217427409748324,3.419047619047619
F2A3,1.9678453240001899,3.7628205128205128
F2A4,1.2859636223132302,3.7476190476190476
F2A5,1.2225943080618622,3.6
F2A6,1.2902353361313428,3.552380952380952
F2A7,1.3613149527375439,2.942857142857143
F2A8,1.3676018895240183,2.9
F2A9,1.1956479142444454,3.9238095238095236
F2A10,1.1881161386785302,3.7714285714285714
F2A11,1.328731521038445,3.138095238095238
F2A12,1.4254465709505808,3.3333333333333335
F2A14,1.3855797427895271,3.6666666666666665
F3A1_1,1.327399732466164,4.054726368159204
F3A2_1,1.2625492923979522,2.8529411764705883
F3A3_1,1.9700882410296576,4.677884615384615
F3A4_1,1.3583408989357482,2.6523809523809523
F3A5_1,1.759102391779901,3.769607843137255
F3A6_1,1.7596220410653978,4.307317073170732
F3A7_1,1.6038563729596111,4.177339901477833
F3A8_1,1.8935437498904615,4.155339805825243
F3A9_1,1.737224604109762,4.563106796116505
F3A10_1,1.7120832622831073,3.0336538461538463
F3A11_1,1.7580907992328345,3.854368932038835
F3A12_1,1.6068126515136383,3.3365384615384617
F3A13_1,1.523252607896237,3.746268656716418
F3A14_1,1.6919877771234393,4.024271844660194
F3A15_1,1.7918964061257912,4.194174757281553
F3A16_1,1.816444330580289,4.483091787439614
F3A17_1,1.5940928130933472,2.6116504854368934
F3A18_1,1.5294258114820487,5.023809523809524
F3A19_1,1.6672032160080223,3.280701754385965
F3A20_1,1.6187124157976522,3.24
F3A21_1,1.5199818510713234,4.2
F3A22_1,1.6608542153258836,4.596153846153846
F3A23_1,2.3389089442526294,5.455445544554456
F3A24_1,2.6208229377978074,4.653465346534653
F3A25_1,2.5276686711060625,5.02970297029703
F3A26_1,1.8242589706725325,5.821782178217822
F3A27_1,2.49391338269717,4.01980198019802
F3A28_1,2.5514507618409983,4.99009900990099
F3A29_1,2.7096454044435005,4.673267326732673
F3A30_1,2.244685693228818,5.316831683168317
F3A31_1,1.5422113478976085,6.03960396039604
F3A32_1,2.341574320202052,3.762376237623762
F3A33_1,1.7663521732655694,6.0
F3A34_1,1.6370705543744901,6.0
F3A35_1,1.5153994996582112,6.0594059405940595
F3A36_1,2.3602735199779095,4.297029702970297
F3B_Hamas,3.2523867854208546,7.108910891089109
F3B_Israel,3.0593469826739237,6.98019801980198
F3B_Deutschland,2.523709355470849,6.02970297029703
F3B_USA,2.9543054669548323,6.821782178217822
F3B_UN,2.623277369706803,6.396039603960396
F3B_Iran,2.907245983387163,6.782178217821782
F3B_Katar,2.562795503367213,5.821782178217822
F5A1_1,1.2602281471669425,3.0714285714285716
F5A2_1,1.2337252214646184,2.742857142857143
F5A3_1,1.159780150598197,3.419047619047619
F5A4_1,0.9787093299896525,3.795238095238095
F5A5_1,1.0637462870135483,3.8380952380952382
F5A6_1,1.070706067627147,3.8
F5A7_1,1.0076151152852852,3.461904761904762
F5A8_1,1.154108434825212,3.1904761904761907
F5A9_1,0.925143083155669,4.023809523809524
F5A10_1,1.0756422043332967,3.557142857142857
F5A11_1,1.0282077658930557,3.585714285714286
F5A12_1,0.978290202449976,3.5476190476190474
F5A13_1,1.0148588485942571,3.3142857142857145
F5A14_1,1.1746059969710272,3.5714285714285716
F5A15_1,1.23268792462631,3.3783783783783785
F5A16_1,1.1322847735373809,3.488721804511278
F5aA1_1,2.1851838550318,5.3238095238095235
F5aA2_1,2.2476082830084643,4.8428571428571425
F5aA3_1,2.2727846882699754,4.2
F5bA1_1,2.2580253573571727,4.319047619047619
F5bA2_1,2.6497209326683855,4.081081081081081
F5bA3_1,2.3524345915737417,3.261904761904762
F5bA4_1,2.455273176343446,3.9285714285714284
F5bA5_1,2.135509541656573,5.152380952380953
F5bA6_1,1.6345272093161949,6.190476190476191
F5cA1_1,1.7052046130236769,3.1485148514851486
F5cA2_1,1.7009024977730771,3.257425742574257
F6a_DemPartyA1,3.317092241855085,5.553571428571429
F6a_RepPartyA1,3.0452351817090997,4.810650887573964
F6mA1_1,2.6496495080254214,6.057142857142857
F7d,0.2659365717533871,1.0761904761904761
F7e,0.3898051461282316,1.1857142857142857
F7f,0.3777835854788817,1.1714285714285715
einkommen,1.4335831433317145,2.8714285714285714
F7g,1.595769355500199,4.357142857142857
F7h,0.0,7.0
F7lA1,0.0,3.0
F7mA1,0.38712758069902276,1.180722891566265
F7n,0.0,8.0
