Variable,Standard_Deviation,Mean
F1A1_1,1.6127555959665063,3.2431693989071038
F1A2_1,1.6723199278736294,3.9754098360655736
F1A3_1,1.817515070093565,4.306010928961749
F1A4_1,1.8734436612912428,3.778688524590164
F1A5_1,1.7055849835870809,3.2349726775956285
F1A6_1,1.911375757725858,3.4918032786885247
F1A7_1,1.8831439151893754,4.248633879781421
F1A8_1,1.8374407031113706,4.325136612021858
F1A9_1,1.7864612983093315,3.7131147540983607
F1A10_1,1.472112700196895,4.997267759562842
F1A11_1,1.5451994338970476,4.505464480874317
F1A12_1,1.1732636727444814,2.133879781420765
F1A13_1,1.5490677032678666,3.9234972677595628
F1A14_1,1.3352146320465708,3.7704918032786887
F1A15_1,1.624612790502955,3.2540983606557377
F1A16_1,1.4363168915806492,2.669398907103825
F1A17_1,1.496121192000928,5.073770491803279
F1A19_1,1.5432507495425913,4.2650273224043715
F2A1,1.2525892040291793,3.726775956284153
F2A2,1.231069697354902,3.469945355191257
F2A3,1.7436380232809225,3.443768996960486
F2A4,1.0969064830796664,3.8633879781420766
F2A5,1.1105688973198773,3.773224043715847
F2A6,1.151246570166122,3.601092896174863
F2A7,1.1958238833903732,3.2158469945355193
F2A8,1.2712156468318252,3.19672131147541
F2A9,1.0439980273586857,4.021857923497268
F2A10,1.0372975592923954,3.8169398907103824
F2A11,1.1654378480416823,3.26775956284153
F2A12,1.3204473129853525,3.4453551912568305
F2A14,1.188028728288313,3.841897233201581
F3A1_1,1.344941327722083,3.8925619834710745
F3A2_1,1.3225123212839762,2.9450549450549453
F3A3_1,1.7884965652942046,4.647540983606557
F3A4_1,1.308213671654747,2.6366120218579234
F3A5_1,1.5987985795500963,3.9972677595628414
F3A6_1,1.640804552225284,3.931318681318681
F3A7_1,1.5782419043529823,4.03013698630137
F3A8_1,1.8009982680177625,4.03013698630137
F3A9_1,1.6798676245973585,4.718579234972678
F3A10_1,1.5824496886132873,2.948087431693989
F3A11_1,1.5145339336834913,3.871232876712329
F3A12_1,1.5300101984711427,3.133879781420765
F3A13_1,1.501993763980061,3.606060606060606
F3A14_1,1.5367444881494108,4.109589041095891
F3A15_1,1.8250303650954613,4.2923497267759565
F3A16_1,1.8004799734734125,4.594520547945206
F3A17_1,1.5259906139435624,2.6775956284153004
F3A18_1,1.6255777992381206,4.781420765027322
F3A19_1,1.5141258259707304,3.0880281690140845
F3A20_1,1.5829358988353979,3.186619718309859
F3A21_1,1.6091548230882948,3.9469964664310955
F3A22_1,1.6110037100822243,4.285714285714286
F3A23_1,2.248911253963285,4.976878612716763
F3A24_1,2.366420552085343,4.3468208092485545
F3A25_1,2.175938640278927,4.699421965317919
F3A26_1,1.8704873553789696,5.358381502890174
F3A27_1,2.3556597691468264,3.878612716763006
F3A28_1,2.2271226456877806,4.473988439306359
F3A29_1,2.5848031165833225,4.069364161849711
F3A30_1,2.149475437528854,4.722543352601156
F3A31_1,1.7359851114080773,5.572254335260116
F3A32_1,2.0249153799622164,3.5028901734104045
F3A33_1,1.7706210220153362,5.508670520231214
F3A34_1,1.6291058132524583,5.566473988439307
F3A35_1,1.5544947167612917,5.953757225433526
F3A36_1,2.0198138038254765,4.086705202312139
F3B_Hamas,3.1110317610229936,7.190751445086705
F3B_Israel,2.999316586583906,6.7398843930635834
F3B_Deutschland,2.5481780654326935,5.5491329479768785
F3B_USA,2.8906215541791607,6.520231213872832
F3B_UN,2.7236498645176774,5.867052023121388
F3B_Iran,2.711196185453128,6.936416184971098
F3B_Katar,2.4111444215758757,5.867052023121388
F5A1_1,1.2619753484412282,2.7349726775956285
F5A2_1,1.1882128131559622,2.521857923497268
F5A3_1,1.2006435881748114,3.1639344262295084
F5A4_1,0.9781657039184004,3.6830601092896176
F5A5_1,1.0353039074118036,3.8060109289617485
F5A6_1,1.0655863231768825,3.6174863387978142
F5A7_1,0.9546063580867341,3.4508196721311477
F5A8_1,1.1197216083810608,3.2240437158469946
F5A9_1,0.9744854938340237,3.8579234972677594
F5A10_1,1.0444603976549953,3.560109289617486
F5A11_1,1.0506878252153882,3.633879781420765
F5A12_1,1.0140453863177863,3.478142076502732
F5A13_1,1.0292379648228354,3.3278688524590163
F5A14_1,1.0261429474780812,3.56551724137931
F5A15_1,1.0680119157898804,3.013888888888889
F5A16_1,1.0139098398315707,3.570135746606335
F5aA1_1,2.0785765742193214,4.991803278688525
F5aA2_1,2.099966314573757,4.319672131147541
F5aA3_1,2.216340245571071,4.300546448087432
F5bA1_1,2.16330100722204,3.92896174863388
F5bA2_1,2.1013074400825973,2.75
F5bA3_1,2.196697737325926,2.9562841530054644
F5bA4_1,2.2285868384145404,3.1748633879781423
F5bA5_1,2.2105589454053494,4.680327868852459
F5bA6_1,1.8093170716015317,5.748633879781421
F5cA1_1,1.6969841906924596,3.1965317919075145
F5cA2_1,1.5755175909925025,2.9826589595375723
F6a_DemPartyA1,3.1284250333624377,5.561461794019934
F6a_RepPartyA1,3.038695616884811,5.2435064935064934
F6mA1_1,2.4033702039948834,6.325136612021858
F7d,0.22215421770550434,1.0519125683060109
F7e,0.39382918854210847,1.1912568306010929
F7f,0.3551298696859213,1.1475409836065573
einkommen,1.3664819791991436,3.3961748633879782
F7g,0.0,4.0
F7h,2.4826623906301157,3.7076502732240435
F7lA1,0.0,3.0
F7mA1,0.5879766468201768,1.291005291005291
F7n,0.0,8.0
