Variable,Standard_Deviation,Mean
F1A1_1,1.6196556070702695,3.259557945041816
F1A2_1,1.7620324961080396,4.230137395459976
F1A3_1,1.7961500908501682,4.4635603345280765
F1A4_1,1.8522751451767785,4.117831541218638
F1A5_1,1.4793556601654672,3.034647550776583
F1A6_1,1.842824100808897,3.7737455197132617
F1A7_1,1.8477482058623953,4.495967741935484
F1A8_1,1.8469203714900753,4.635304659498208
F1A9_1,1.8079704518746254,3.84557945041816
F1A10_1,1.4559075049939147,5.034199522102748
F1A11_1,1.6080894311893694,4.747162485065711
F1A12_1,1.2560551067364103,2.224163679808841
F1A13_1,1.5810481627319355,3.927270011947431
F1A14_1,1.335307639536658,3.7557879014189695
F1A15_1,1.6206265494189542,3.336021505376344
F1A16_1,1.4248234209257713,2.6948924731182795
F1A17_1,1.5055360526022472,5.148596176821983
F1A19_1,1.6178924000088657,4.257019115890084
F2A1,1.3660172604846854,3.4126344086021505
F2A2,1.2333018426007243,3.226553166069295
F2A3,1.6516398179185237,3.14309849636763
F2A4,1.1148613336922588,3.6957885304659497
F2A5,1.1412652860677441,3.6485961768219832
F2A6,1.2017597642503148,3.4030764635603346
F2A7,1.2174029449588128,3.041517323775388
F2A8,1.2287539299051924,3.1509856630824373
F2A9,1.0586404713550908,3.9321983273596177
F2A10,1.063366046084178,3.710125448028674
F2A11,1.2081039897918622,3.1149940262843487
F2A12,1.3302350147424695,3.487604540023895
F2A14,1.219352825507106,3.679805137289637
F3A1_1,1.513377472241053,4.143803644029513
F3A2_1,1.346315334974691,2.6340878429021135
F3A3_1,1.7646996969082944,4.696666168336074
F3A4_1,1.2343522541971585,2.4471751835756033
F3A5_1,1.7242150675445584,3.752438109527382
F3A6_1,1.7936801528666149,4.156827399729608
F3A7_1,1.7184249105317326,4.2002700270027
F3A8_1,1.8787320719225664,4.308244800239414
F3A9_1,1.7538950338260288,4.668420261536149
F3A10_1,1.761588830514253,2.9168287210172026
F3A11_1,1.7552210705587097,3.789513108614232
F3A12_1,1.6304554049728042,3.117110379898295
F3A13_1,1.6094583022132531,3.2555972952667167
F3A14_1,1.7262742463091272,3.898889888988899
F3A15_1,1.8587247597875836,4.386101542608956
F3A16_1,1.8551112143123882,4.772026925953628
F3A17_1,1.6281239032357904,2.7139653110047846
F3A18_1,1.7417058978271593,4.839047761640964
F3A19_1,1.5869309957361593,3.0821428571428573
F3A20_1,1.580268469085614,3.2607310215557637
F3A21_1,1.5762768403923058,3.7639307228915664
F3A22_1,1.7219683789177964,4.660049074280615
F3A23_1,2.267210123165549,4.996358339402768
F3A24_1,2.3929317127792546,4.05972323379461
F3A25_1,2.3353589912726105,4.399854333576111
F3A26_1,1.9236593401550908,5.332847778587036
F3A27_1,2.2576464305730735,3.6518572469045885
F3A28_1,2.1592551432577523,4.359431900946832
F3A29_1,2.508559091024272,3.7935178441369266
F3A30_1,2.114231304961972,4.427530954115077
F3A31_1,1.7932568643021103,5.636562272396213
F3A32_1,1.910813643256281,3.2454479242534595
F3A33_1,1.791072271412803,5.516023306627822
F3A34_1,1.7226705616477358,5.586307356154406
F3A35_1,1.5638067139033849,5.908230152949745
F3A36_1,2.0513408902746124,4.182083029861617
F3B_Hamas,2.930222541481194,7.820101966496723
F3B_Israel,2.9382574227616662,7.081937363437728
F3B_Deutschland,2.3607409035619487,5.601602330662782
F3B_USA,2.979196694838155,6.40094683175528
F3B_UN,2.685797851009532,5.764020393299345
F3B_Iran,2.7169170646169047,7.29278951201748
F3B_Katar,2.4396795578449946,6.299708667152221
F5A1_1,1.3071199642273608,3.038978494623656
F5A2_1,1.1489279897103009,2.450567502986858
F5A3_1,1.2392749442092437,2.9795400238948626
F5A4_1,1.0299442649642256,3.7474611708482675
F5A5_1,1.0776339545750966,3.7092293906810037
F5A6_1,1.1063342728942602,3.4623655913978495
F5A7_1,1.0041126373276361,3.3803763440860215
F5A8_1,1.1373942283776308,3.1550179211469533
F5A9_1,0.9942085335645574,3.90352449223417
F5A10_1,1.0909715801307855,3.5376344086021505
F5A11_1,1.0772427535980362,3.510752688172043
F5A12_1,1.0187217542309894,3.4655017921146953
F5A13_1,1.1178424563897318,3.3106332138590204
F5A14_1,1.1106287750716073,3.494052676295667
F5A15_1,1.0114661530367879,2.9831053901850364
F5A16_1,1.0760998620368687,3.683786273606633
F5aA1_1,2.13107643309469,4.8509557945041815
F5aA2_1,2.1204198619717167,4.003285543608124
F5aA3_1,2.2412238014349612,4.5082138590203105
F5bA1_1,2.16798839981486,3.5933393070489843
F5bA2_1,2.177111791813181,3.0643604183427193
F5bA3_1,2.3473435268341682,3.2725507765830346
F5bA4_1,2.176610208440192,3.151433691756272
F5bA5_1,2.220457012562981,4.357078853046595
F5bA6_1,1.942594215744835,5.486260454002389
F5cA1_1,1.6187192501707153,3.2858703568827385
F5cA2_1,1.474625933022506,2.8638018936635103
F6a_DemPartyA1,3.2370727907238654,5.705922051628143
F6a_RepPartyA1,3.0267788956637367,4.95945945945946
F6mA1_1,2.531545598916777,6.191905615292712
F7d,0.28477708104711974,1.0890083632019116
F7e,0.40550167596354986,1.207437275985663
F7f,0.40387576003294334,1.2051971326164874
einkommen,1.5426123245689767,4.054958183990442
F7g,1.9245761900863567,5.367383512544803
F7h,2.2830785185493294,3.0442187033164028
F7lA1,0.0,3.0
F7mA1,0.44776075260936493,1.1691842900302114
F7n,3.440410110864836,5.513142174432497
